datetime,open,high,low,close,tick_volume
2024-01-02 00:05:00+02:00,1.1042399999999999,1.1042399999999999,1.10423,1.10423,2
2024-01-02 00:06:00+02:00,1.10425,1.10427,1.10423,1.10423,3
2024-01-02 00:07:00+02:00,1.10425,1.10425,1.10425,1.10425,1
2024-01-02 00:09:00+02:00,1.10417,1.10417,1.10417,1.10417,1
2024-01-02 00:10:00+02:00,1.10417,1.10417,1.10416,1.10416,2
2024-01-02 00:11:00+02:00,1.10416,1.10416,1.10416,1.10416,1
2024-01-02 00:12:00+02:00,1.10425,1.10425,1.10425,1.10425,1
2024-01-02 00:15:00+02:00,1.10425,1.10425,1.10425,1.10425,1
2024-01-02 00:21:00+02:00,1.10421,1.10427,1.10416,1.10427,17
2024-01-02 00:22:00+02:00,1.10434,1.10434,1.10431,1.10431,2
2024-01-02 00:23:00+02:00,1.10427,1.10427,1.10425,1.10425,2
2024-01-02 00:24:00+02:00,1.10427,1.10431,1.10427,1.10431,2
2024-01-02 00:26:00+02:00,1.10427,1.10427,1.10427,1.10427,1
2024-01-02 00:27:00+02:00,1.10425,1.1043,1.10425,1.1043,2
2024-01-02 00:33:00+02:00,1.10422,1.10422,1.10422,1.10422,1
2024-01-02 00:34:00+02:00,1.10431,1.10431,1.1042399999999999,1.1042399999999999,3
2024-01-02 00:35:00+02:00,1.10432,1.10432,1.10432,1.10432,1
2024-01-02 00:36:00+02:00,1.1042399999999999,1.1042399999999999,1.1042399999999999,1.1042399999999999,1
2024-01-02 00:37:00+02:00,1.1043,1.10431,1.10426,1.10429,6
2024-01-02 00:38:00+02:00,1.10429,1.10433,1.10429,1.10433,3
2024-01-02 00:39:00+02:00,1.10433,1.10433,1.10428,1.10428,4
2024-01-02 00:40:00+02:00,1.10428,1.10429,1.10425,1.10427,7
2024-01-02 00:41:00+02:00,1.10427,1.10428,1.1042399999999999,1.10426,8
2024-01-02 00:42:00+02:00,1.10426,1.10431,1.10425,1.10431,5
2024-01-02 00:43:00+02:00,1.10432,1.10434,1.10429,1.10434,5
2024-01-02 00:44:00+02:00,1.10434,1.10434,1.10434,1.10434,1
2024-01-02 00:45:00+02:00,1.10425,1.10425,1.10416,1.10416,2
2024-01-02 00:46:00+02:00,1.1043,1.1043,1.10426,1.10427,3
2024-01-02 00:47:00+02:00,1.10426,1.10428,1.10421,1.10422,5
2024-01-02 00:48:00+02:00,1.1042399999999999,1.1042399999999999,1.10423,1.10423,2
2024-01-02 00:49:00+02:00,1.10417,1.10427,1.10417,1.1042399999999999,5
2024-01-02 00:51:00+02:00,1.10428,1.10432,1.10428,1.10432,3
2024-01-02 00:52:00+02:00,1.10437,1.10437,1.10433,1.10435,6
2024-01-02 00:53:00+02:00,1.10432,1.10438,1.10432,1.10438,3
2024-01-02 00:55:00+02:00,1.10438,1.10438,1.10433,1.10433,4
2024-01-02 00:56:00+02:00,1.10434,1.10436,1.10434,1.10436,2
2024-01-02 00:57:00+02:00,1.10434,1.1044100000000001,1.10433,1.10435,11
2024-01-02 00:58:00+02:00,1.10436,1.10436,1.10436,1.10436,1
2024-01-02 00:59:00+02:00,1.10443,1.10443,1.10423,1.10434,12
2024-01-02 01:00:00+02:00,1.10438,1.10442,1.10431,1.10436,36
2024-01-02 01:01:00+02:00,1.10434,1.10438,1.10432,1.10438,24
2024-01-02 01:02:00+02:00,1.10437,1.10437,1.10421,1.10422,19
2024-01-02 01:03:00+02:00,1.10419,1.10419,1.10407,1.10407,19
2024-01-02 01:04:00+02:00,1.10408,1.10409,1.10404,1.10406,18
2024-01-02 01:05:00+02:00,1.10406,1.10409,1.10405,1.10405,13
2024-01-02 01:06:00+02:00,1.10406,1.10411,1.10406,1.10407,25
2024-01-02 01:07:00+02:00,1.10408,1.10411,1.10407,1.10409,14
2024-01-02 01:08:00+02:00,1.10408,1.10408,1.10403,1.10403,13
2024-01-02 01:09:00+02:00,1.10402,1.10406,1.10402,1.10406,10
2024-01-02 01:10:00+02:00,1.10405,1.10406,1.1039,1.10393,18
2024-01-02 01:11:00+02:00,1.10393,1.10393,1.10389,1.10389,15
2024-01-02 01:12:00+02:00,1.1039,1.10392,1.10389,1.10392,5
2024-01-02 01:13:00+02:00,1.10391,1.10393,1.1039,1.1039,6
2024-01-02 01:14:00+02:00,1.10389,1.10389,1.10383,1.10384,10
2024-01-02 01:15:00+02:00,1.10383,1.10384,1.1038000000000001,1.1038000000000001,5
