time,open,high,low,close,Volume,complete
2024-07-29 00:00:00+00:00,1.08528,1.08666,1.0851,1.08634,3645,True
2024-07-29 01:00:00+00:00,1.08636,1.08681,1.08607,1.08658,4104,True
2024-07-29 02:00:00+00:00,1.08658,1.087,1.08643,1.08644,2310,True
2024-07-29 03:00:00+00:00,1.08642,1.08659,1.08617,1.08624,2716,True
2024-07-29 04:00:00+00:00,1.08623,1.0864,1.08583,1.08591,2020,True
2024-07-29 05:00:00+00:00,1.08591,1.08631,1.08574,1.0859,2989,True
2024-07-29 06:00:00+00:00,1.08591,1.08624,1.0855,1.0858,3735,True
2024-07-29 07:00:00+00:00,1.0858,1.08598,1.08434,1.08447,6212,True
2024-07-29 08:00:00+00:00,1.08444,1.08444,1.08316,1.08322,4486,True
2024-07-29 09:00:00+00:00,1.08322,1.08414,1.08267,1.08372,3953,True
2024-07-29 10:00:00+00:00,1.08371,1.08421,1.08329,1.08359,4413,True
2024-07-29 11:00:00+00:00,1.08359,1.0836,1.08168,1.08179,3042,True
2024-07-29 12:00:00+00:00,1.0818,1.08216,1.08151,1.08162,3927,True
2024-07-29 13:00:00+00:00,1.08162,1.08175,1.08111,1.08118,4004,True
2024-07-29 14:00:00+00:00,1.08118,1.08162,1.08028,1.08154,5712,True
2024-07-29 15:00:00+00:00,1.08156,1.08239,1.08154,1.08189,4204,True
2024-07-29 16:00:00+00:00,1.08192,1.08238,1.0815,1.08215,3435,True
2024-07-29 17:00:00+00:00,1.08216,1.0826,1.08196,1.0825,3187,True
2024-07-29 18:00:00+00:00,1.08248,1.0825,1.08194,1.08216,3019,True
2024-07-29 19:00:00+00:00,1.08218,1.08257,1.08218,1.08237,3087,True
2024-07-29 20:00:00+00:00,1.08237,1.08238,1.08198,1.08212,1738,True
2024-07-29 21:00:00+00:00,1.08227,1.08242,1.0822,1.0823,346,True
2024-07-29 22:00:00+00:00,1.08238,1.08238,1.0822,1.08223,664,True
2024-07-29 23:00:00+00:00,1.08222,1.08223,1.08184,1.08192,1198,True
2024-07-30 00:00:00+00:00,1.08192,1.08202,1.08154,1.08172,2920,True
2024-07-30 01:00:00+00:00,1.08172,1.082,1.08144,1.08175,2753,True
2024-07-30 02:00:00+00:00,1.08176,1.08186,1.08148,1.08181,1942,True
2024-07-30 03:00:00+00:00,1.08182,1.08225,1.08176,1.08221,2032,True
2024-07-30 04:00:00+00:00,1.0822,1.08252,1.0822,1.08242,1737,True
2024-07-30 05:00:00+00:00,1.08238,1.0825,1.0819,1.08205,1956,True
2024-07-30 06:00:00+00:00,1.08202,1.08246,1.08178,1.08227,3578,True
2024-07-30 07:00:00+00:00,1.08215,1.08269,1.08165,1.08189,4512,True
2024-07-30 08:00:00+00:00,1.08186,1.08347,1.08162,1.08288,5314,True
2024-07-30 09:00:00+00:00,1.08288,1.08352,1.08278,1.08318,3429,True
2024-07-30 10:00:00+00:00,1.08322,1.08358,1.08318,1.08334,3509,True
2024-07-30 11:00:00+00:00,1.08334,1.08335,1.08239,1.08242,2495,True
2024-07-30 12:00:00+00:00,1.08242,1.08259,1.08018,1.0802,5269,True
2024-07-30 13:00:00+00:00,1.08018,1.08153,1.08018,1.08108,6226,True
2024-07-30 14:00:00+00:00,1.08108,1.08108,1.07982,1.08052,7930,True
2024-07-30 15:00:00+00:00,1.08053,1.0811,1.0799,1.08088,7104,True
2024-07-30 16:00:00+00:00,1.0809,1.08166,1.08068,1.08138,5015,True
2024-07-30 17:00:00+00:00,1.08139,1.08176,1.08098,1.08144,5315,True
2024-07-30 18:00:00+00:00,1.08143,1.08163,1.08102,1.08112,4102,True
2024-07-30 19:00:00+00:00,1.08113,1.08136,1.08093,1.08107,3180,True
2024-07-30 20:00:00+00:00,1.08108,1.08154,1.08084,1.0815,1508,True
2024-07-30 21:00:00+00:00,1.08148,1.08152,1.08136,1.08142,288,True
2024-07-30 22:00:00+00:00,1.08144,1.08168,1.08124,1.08147,1507,True
2024-07-30 23:00:00+00:00,1.08152,1.08179,1.08141,1.08158,2800,True
