time,open,high,low,close,Volume,complete
2024-07-29 00:00:00+00:00,1.28666,1.28882,1.28628,1.28849,6898,True
2024-07-29 01:00:00+00:00,1.2885,1.28857,1.28776,1.28823,6319,True
2024-07-29 02:00:00+00:00,1.28825,1.28882,1.28823,1.28832,5020,True
2024-07-29 03:00:00+00:00,1.28832,1.28858,1.28808,1.2881,3047,True
2024-07-29 04:00:00+00:00,1.28808,1.28816,1.28738,1.28751,4038,True
2024-07-29 05:00:00+00:00,1.28752,1.28782,1.287,1.28718,4329,True
2024-07-29 06:00:00+00:00,1.28719,1.28768,1.28642,1.28679,5226,True
2024-07-29 07:00:00+00:00,1.28676,1.28684,1.28302,1.28331,7688,True
2024-07-29 08:00:00+00:00,1.2833,1.2833,1.28083,1.28132,7911,True
2024-07-29 09:00:00+00:00,1.28126,1.28351,1.28068,1.28341,5637,True
2024-07-29 10:00:00+00:00,1.2834,1.28466,1.28288,1.28449,5743,True
2024-07-29 11:00:00+00:00,1.28448,1.28452,1.28243,1.2827,4689,True
2024-07-29 12:00:00+00:00,1.2827,1.28405,1.28224,1.28384,7366,True
2024-07-29 13:00:00+00:00,1.28384,1.28543,1.2834,1.28402,7622,True
2024-07-29 14:00:00+00:00,1.28402,1.28476,1.28232,1.28468,9221,True
2024-07-29 15:00:00+00:00,1.28468,1.28564,1.28448,1.285,7279,True
2024-07-29 16:00:00+00:00,1.285,1.286,1.28462,1.28544,5921,True
2024-07-29 17:00:00+00:00,1.28546,1.2865,1.28539,1.28644,5705,True
2024-07-29 18:00:00+00:00,1.28642,1.28647,1.28566,1.28644,5287,True
2024-07-29 19:00:00+00:00,1.28643,1.28681,1.2863,1.2865,5057,True
2024-07-29 20:00:00+00:00,1.28651,1.28653,1.28596,1.28616,1409,True
2024-07-29 21:00:00+00:00,1.28621,1.2864,1.28596,1.28612,2595,True
2024-07-29 22:00:00+00:00,1.2862,1.28664,1.28611,1.28664,1100,True
2024-07-29 23:00:00+00:00,1.28661,1.28663,1.28588,1.28597,1617,True
2024-07-30 00:00:00+00:00,1.28596,1.28596,1.28513,1.28538,4165,True
2024-07-30 01:00:00+00:00,1.28537,1.28548,1.28458,1.28472,4714,True
2024-07-30 02:00:00+00:00,1.28474,1.28526,1.28452,1.28512,3869,True
2024-07-30 03:00:00+00:00,1.28514,1.28554,1.28502,1.28554,3603,True
2024-07-30 04:00:00+00:00,1.28554,1.28596,1.2855,1.28578,3110,True
2024-07-30 05:00:00+00:00,1.28578,1.28584,1.28471,1.2849,3796,True
2024-07-30 06:00:00+00:00,1.28488,1.28548,1.28436,1.28544,5802,True
2024-07-30 07:00:00+00:00,1.2854,1.28598,1.28488,1.28513,6737,True
2024-07-30 08:00:00+00:00,1.28514,1.28642,1.2849,1.28595,6873,True
2024-07-30 09:00:00+00:00,1.28594,1.28647,1.28562,1.28622,5434,True
2024-07-30 10:00:00+00:00,1.28622,1.28642,1.28554,1.28554,4717,True
2024-07-30 11:00:00+00:00,1.28554,1.28556,1.28438,1.28448,4008,True
2024-07-30 12:00:00+00:00,1.28448,1.28468,1.28288,1.2829,7127,True
2024-07-30 13:00:00+00:00,1.2829,1.28442,1.2825,1.28439,8001,True
2024-07-30 14:00:00+00:00,1.2844,1.2844,1.28202,1.28273,10603,True
2024-07-30 15:00:00+00:00,1.28275,1.28332,1.2824,1.2828,9438,True
2024-07-30 16:00:00+00:00,1.28282,1.28384,1.28257,1.28338,8150,True
2024-07-30 17:00:00+00:00,1.28338,1.28392,1.2827,1.28327,7841,True
2024-07-30 18:00:00+00:00,1.2833,1.28367,1.283,1.28334,6277,True
2024-07-30 19:00:00+00:00,1.28333,1.2834,1.28292,1.28322,5036,True
2024-07-30 20:00:00+00:00,1.28324,1.28383,1.28296,1.28358,2301,True
2024-07-30 21:00:00+00:00,1.2834,1.28402,1.28308,1.28344,2003,True
2024-07-30 22:00:00+00:00,1.28344,1.2837,1.28334,1.28356,2037,True
2024-07-30 23:00:00+00:00,1.28358,1.28422,1.2835,1.28376,3109,True
2024-07-31 00:00:00+00:00,1.28376,1.28428,1.2832,1.28408,5289,True
2024-07-31 01:00:00+00:00,1.28408,1.28462,1.28354,1.28414,7177,True
2024-07-31 02:00:00+00:00,1.28412,1.28494,1.28395,1.28481,6340,True
2024-07-31 03:00:00+00:00,1.28478,1.2853,1.28402,1.28406,5222,True
2024-07-31 04:00:00+00:00,1.28406,1.28462,1.28393,1.28458,5788,True
2024-07-31 05:00:00+00:00,1.2846,1.28474,1.28354,1.28445,5032,True
2024-07-31 06:00:00+00:00,1.28444,1.28452,1.28336,1.2841,8034,True
2024-07-31 07:00:00+00:00,1.28414,1.28472,1.28266,1.28394,9738,True
2024-07-31 08:00:00+00:00,1.28394,1.28404,1.28212,1.28296,9675,True
2024-07-31 09:00:00+00:00,1.28296,1.2838,1.2821,1.28324,7568,True
2024-07-31 10:00:00+00:00,1.28324,1.28416,1.28304,1.2841,4670,True
2024-07-31 11:00:00+00:00,1.2841,1.28488,1.28318,1.28349,6329,True
